ENSMUSG00000029580
ENSMUSG00000015143
ENSMUSG00000054808
ENSMUSG00000028656
ENSMUSG00000062515
ENSMUSG00000020609
ENSMUSG00000030730
ENSMUSG00000030541
ENSMUSG00000021939
ENSMUSG00000056201
ENSMUSG00000001270
ENSMUSG00000063694
ENSMUSG00000029675
ENSMUSG00000063524
ENSMUSG00000039253
ENSMUSG00000030695
ENSMUSG00000031400
ENSMUSG00000057666
ENSMUSG00000004070
ENSMUSG00000050578
ENSMUSG00000063358
ENSMUSG00000026701
ENSMUSG00000013663
ENSMUSG00000109324
ENSMUSG00000052889
ENSMUSG00000004056
ENSMUSG00000020458
ENSMUSG00000030324
ENSMUSG00000027639
ENSMUSG00000025486
ENSMUSG00000021061
ENSMUSG00000020250
ENSMUSG00000005952
ENSMUSG00000021771
