ENSMUSG00000019189
ENSMUSG00000030086
ENSMUSG00000023057
ENSMUSG00000032298
ENSMUSG00000049892
ENSMUSG00000051483
ENSMUSG00000072791
ENSMUSG00000011382
ENSMUSG00000029059
ENSMUSG00000055866
ENSMUSG00000051483
ENSMUSG00000022389
ENSMUSG00000053907
ENSMUSG00000002109
ENSMUSG00000041237
ENSMUSG00000019853
ENSMUSG00000035783
ENSMUSG00000020038
ENSMUSG00000041616
ENSMUSG00000024041
ENSMUSG00000027242
ENSMUSG00000021939
ENSMUSG00000046805
ENSMUSG00000042401
ENSMUSG00000026198
ENSMUSG00000020538
ENSMUSG00000032454
ENSMUSG00000020609
ENSMUSG00000038217
ENSMUSG00000061175
ENSMUSG00000038045
ENSMUSG00000030717
ENSG00000214013
ENSMUSG00000071192
ENSMUSG00000002985
ENSMUSG00000040997
ENSMUSG00000029433
