ENSG00000075624
ENSG00000072110
ENSG00000130402
ENSG00000131236
ENSG00000170323
ENSG00000084674
ENSG00000196296
ENSG00000182054
ENSG00000164733
ENSG00000172757
ENSG00000166165
ENSG00000172115
ENSG00000049540
ENSG00000074800
ENSG00000141560
ENSG00000149925
ENSG00000160211
ENSG00000243955
ENSG00000084207
ENSG00000111640
ENSG00000103415
ENSG00000137745
ENSG00000100030
ENSG00000117592
ENSG00000171862
ENSG00000126457
ENSG00000166501
ENSG00000105221
ENSG00000115310
ENSG00000163914
ENSG00000101347
ENSG00000142082
ENSG00000070182
ENSG00000136810
ENSG00000198431
ENSG00000196689
ENSG00000165637
