ENSG00000134326
ENSG00000168958
ENSG00000171681
ENSG00000149654
ENSG00000171408
ENSG00000197993
ENSG00000144674
ENSG00000125753
ENSG00000139842
ENSG00000004848
ENSG00000101624
ENSG00000196218
ENSG00000064726
ENSG00000104738
ENSG00000093167
ENSG00000205129
ENSG00000118260
ENSG00000124614
ENSG00000120159
ENSG00000186635
ENSG00000159917
ENSG00000133121
ENSG00000162552
ENSG00000162735
ENSG00000196456
ENSG00000103494
ENSG00000101846
ENSG00000108306
ENSG00000165152
ENSG00000124243
ENSG00000006652
